,date,/m/0cycc
0,2004-01-04,6841.7855844494825
1,2004-01-11,0.0
2,2004-01-18,2390.3901905253324
3,2004-01-25,0.0
4,2004-02-01,3817.0980458352537
5,2004-02-08,3958.6076242839977
6,2004-02-15,3808.1599877094873
7,2004-02-22,0.0
8,2004-02-29,0.0
9,2004-03-07,0.0
10,2004-03-14,0.0
11,2004-03-21,0.0
12,2004-03-28,0.0
13,2004-04-04,0.0
14,2004-04-11,6967.21564053225
15,2004-04-18,0.0
16,2004-04-25,0.0
17,2004-05-02,2219.3717700292505
18,2004-05-09,0.0
19,2004-05-16,0.0
20,2004-05-23,3728.7194831123347
21,2004-05-30,4229.986288459644
22,2004-06-06,4426.164762425161
23,2004-06-13,2889.557272716004
24,2004-06-20,0.0
25,2004-06-27,0.0
26,2004-07-04,0.0
27,2004-07-11,0.0
28,2004-07-18,3214.7344529589427
29,2004-07-25,0.0
30,2004-08-01,5785.699232859177
31,2004-08-08,3843.7561451233796
32,2004-08-15,4684.2777025197765
33,2004-08-22,0.0
34,2004-08-29,1708.1468749029063
35,2004-09-05,4849.44873756325
36,2004-09-12,0.0
37,2004-09-19,2048.1373630586468
38,2004-09-26,0.0
39,2004-10-03,6601.207852562249
40,2004-10-10,3373.5766594163183
41,2004-10-17,7376.698105383511
42,2004-10-24,4949.684836326442
43,2004-10-31,1496.3211432526298
44,2004-11-07,0.0
45,2004-11-14,3916.427614694284
46,2004-11-21,0.0
47,2004-11-28,2289.49026342596
48,2004-12-05,5303.208470928529
49,2004-12-12,1439.6995337404524
50,2004-12-19,4525.025778639678
51,2004-12-26,2702.85560086951
52,2005-01-02,0.0
53,2005-01-09,0.0
54,2005-01-16,0.0
55,2005-01-23,1979.572177300044
56,2005-01-30,1280.3899708639533
57,2005-02-06,0.0
58,2005-02-13,4253.459646495996
59,2005-02-20,3888.726540459157
60,2005-02-27,1580.7927512559127
61,2005-03-06,1328.2094702390825
62,2005-03-13,0.0
63,2005-03-20,1528.4797038384813
64,2005-03-27,2114.372338525807
65,2005-04-03,0.0
66,2005-04-10,1614.5014280842586
67,2005-04-17,0.0
68,2005-04-24,0.0
69,2005-05-01,0.0
70,2005-05-08,0.0
71,2005-05-15,0.0
72,2005-05-22,0.0
73,2005-05-29,0.0
74,2005-06-05,0.0
75,2005-06-12,1653.7033523403973
76,2005-06-19,0.0
77,2005-06-26,0.0
78,2005-07-03,0.0
79,2005-07-10,0.0
80,2005-07-17,2154.1856230707335
81,2005-07-24,3986.5779718535528
82,2005-07-31,1916.9264272672915
83,2005-08-07,1619.626951490511
84,2005-08-14,2624.4035731905115
85,2005-08-21,0.0
86,2005-08-28,0.0
87,2005-09-04,1397.1561459801753
88,2005-09-11,1604.865184046777
89,2005-09-18,0.0
90,2005-09-25,1993.5267555369937
91,2005-10-02,5828.212254357959
92,2005-10-09,13285.216042449876
93,2005-10-16,8091.537508623876
94,2005-10-23,6287.971461430722
95,2005-10-30,9541.359130587634
96,2005-11-06,6147.888642223821
97,2005-11-13,6961.136892555778
98,2005-11-20,3178.368620150374
99,2005-11-27,5109.893080782994
100,2005-12-04,3065.173787000505
101,2005-12-11,0.0
102,2005-12-18,3109.5109775708497
103,2005-12-25,1832.389771111205
104,2006-01-01,3852.5951538489226
105,2006-01-08,1880.5081205557308
106,2006-01-15,2396.881609255859
107,2006-01-22,4808.273446174084
108,2006-01-29,1172.716054806007
109,2006-02-05,3810.382430170482
