,date,/m/0j5fv
0,2004-01-04,0.0
1,2004-01-11,0.0
2,2004-01-18,0.0
3,2004-01-25,0.0
4,2004-02-01,0.0
5,2004-02-08,27751.922528701103
6,2004-02-15,18462.934361644035
7,2004-02-22,0.0
8,2004-02-29,0.0
9,2004-03-07,26293.487703076506
10,2004-03-14,0.0
11,2004-03-21,48095.50397846348
12,2004-03-28,16669.510856724417
13,2004-04-04,0.0
14,2004-04-11,0.0
15,2004-04-18,0.0
16,2004-04-25,0.0
17,2004-05-02,0.0
18,2004-05-09,0.0
19,2004-05-16,12258.482917782298
20,2004-05-23,11238.903446829576
21,2004-05-30,0.0
22,2004-06-06,19009.70808657079
23,2004-06-13,22770.637562655083
24,2004-06-20,0.0
25,2004-06-27,0.0
26,2004-07-04,0.0
27,2004-07-11,0.0
28,2004-07-18,9978.09329829969
29,2004-07-25,37813.1044883069
30,2004-08-01,0.0
31,2004-08-08,50830.58193511894
32,2004-08-15,0.0
33,2004-08-22,0.0
34,2004-08-29,0.0
35,2004-09-05,0.0
36,2004-09-12,20871.83416995911
37,2004-09-19,0.0
38,2004-09-26,0.0
39,2004-10-03,0.0
40,2004-10-10,0.0
41,2004-10-17,0.0
42,2004-10-24,0.0
43,2004-10-31,9202.510418132513
44,2004-11-07,34190.86597089059
45,2004-11-14,0.0
46,2004-11-21,0.0
47,2004-11-28,10686.402943728384
48,2004-12-05,26195.443882065847
49,2004-12-12,0.0
50,2004-12-19,0.0
51,2004-12-26,0.0
52,2005-01-02,0.0
53,2005-01-09,0.0
54,2005-01-16,0.0
55,2005-01-23,29060.249706928305
56,2005-01-30,0.0
57,2005-02-06,0.0
58,2005-02-13,0.0
59,2005-02-20,0.0
60,2005-02-27,0.0
61,2005-03-06,6941.02487103531
62,2005-03-13,0.0
63,2005-03-20,8847.96820316416
64,2005-03-27,0.0
65,2005-04-03,0.0
66,2005-04-10,0.0
67,2005-04-17,0.0
68,2005-04-24,0.0
69,2005-05-01,0.0
70,2005-05-08,0.0
71,2005-05-15,0.0
72,2005-05-22,0.0
73,2005-05-29,0.0
74,2005-06-05,20363.269582054705
75,2005-06-12,0.0
76,2005-06-19,0.0
77,2005-06-26,0.0
78,2005-07-03,0.0
79,2005-07-10,0.0
80,2005-07-17,0.0
81,2005-07-24,0.0
82,2005-07-31,0.0
83,2005-08-07,12744.75226923135
84,2005-08-14,0.0
85,2005-08-21,13080.488333004994
86,2005-08-28,0.0
87,2005-09-04,0.0
88,2005-09-11,0.0
89,2005-09-18,0.0
90,2005-09-25,0.0
91,2005-10-02,17639.57110709774
92,2005-10-09,0.0
93,2005-10-16,9039.270389815967
94,2005-10-23,0.0
95,2005-10-30,0.0
96,2005-11-06,7025.1335009314635
97,2005-11-13,7469.887705430815
98,2005-11-20,8141.37919093677
99,2005-11-27,0.0
100,2005-12-04,10253.960315181006
101,2005-12-11,4746.79184492233
102,2005-12-18,0.0
103,2005-12-25,0.0
104,2006-01-01,8947.465068764712
105,2006-01-08,0.0
106,2006-01-15,7286.852066745646
107,2006-01-22,0.0
108,2006-01-29,0.0
109,2006-02-05,4547.306021215505
110,2006-02-12,8111.802996007349
111,2006-02-19,0.0
112,2006-02-26,0.0
113,2006-03-05,0.0
114,2006-03-12,0.0
115,2006-03-19,0.0
116,2006-03-26,0.0
117,2006-04-02,0.0
118,2006-04-09,0.0
119,2006-04-16,0.0
120,2006-04-23,0.0
121,2006-04-30,0.0
122,2006-05-07,0.0
123,2006-05-14,0.0
124,2006-05-21,0.0
125,2006-05-28,0.0
126,2006-06-04,0.0
127,2006-06-11,0.0
128,2006-06-18,0.0
129,2006-06-25,8054.330188104603
130,2006-07-02,0.0
131,2006-07-09,0.0
132,2006-07-16,5037.969244235342
133,2006-07-23,0.0
134,2006-07-30,0.0
135,2006-08-06,9941.217121727537
136,2006-08-13,0.0
137,2006-08-20,0.0
138,2006-08-27,0.0
139,2006-09-03,0.0
140,2006-09-10,0.0
141,2006-09-17,4919.8526099828005
142,2006-09-24,10487.410360439193
143,2006-10-01,5285.463543904097
144,2006-10-08,0.0
145,2006-10-15,12113.699477985745
146,2006-10-22,3497.9945019346837
147,2006-10-29,0.0
148,2006-11-05,0.0
149,2006-11-12,0.0
150,2006-11-19,0.0
151,2006-11-26,0.0
152,2006-12-03,0.0
153,2006-12-10,0.0
154,2006-12-17,5538.870320607259
155,2006-12-24,0.0
156,2006-12-31,0.0
157,2007-01-07,0.0
158,2007-01-14,3381.96528914543
159,2007-01-21,3479.0417377607146
160,2007-01-28,0.0
161,2007-02-04,3424.7026713739224
162,2007-02-11,0.0
163,2007-02-18,3781.233083379742
164,2007-02-25,0.0
165,2007-03-04,0.0
166,2007-03-11,6136.463058010972
167,2007-03-18,5732.915706141641
168,2007-03-25,0.0
169,2007-04-01,0.0
170,2007-04-08,0.0
171,2007-04-15,0.0
172,2007-04-22,0.0
173,2007-04-29,0.0
174,2007-05-06,0.0
175,2007-05-13,0.0
176,2007-05-20,4866.4234372775
177,2007-05-27,16027.4109486806
178,2007-06-03,0.0
179,2007-06-10,0.0
180,2007-06-17,4200.837833451899
181,2007-06-24,0.0
182,2007-07-01,0.0
183,2007-07-08,0.0
184,2007-07-15,4046.0904827530558
185,2007-07-22,5054.289504772784
186,2007-07-29,3150.4199398143705
187,2007-08-05,0.0
188,2007-08-12,9966.353541130042
189,2007-08-19,0.0
190,2007-08-26,0.0
191,2007-09-02,0.0
192,2007-09-09,0.0
193,2007-09-16,0.0
194,2007-09-23,0.0
195,2007-09-30,2881.749114477511
196,2007-10-07,0.0
197,2007-10-14,3526.53685275764
198,2007-10-21,2417.9364334489364
199,2007-10-28,0.0
200,2007-11-04,0.0
201,2007-11-11,2234.729480241506
202,2007-11-18,0.0
203,2007-11-25,0.0
204,2007-12-02,3343.369016876292
205,2007-12-09,0.0
206,2007-12-16,0.0
207,2007-12-23,0.0
208,2007-12-30,0.0
209,2008-01-06,4146.744351202267
210,2008-01-13,4711.446267376487
211,2008-01-20,0.0
212,2008-01-27,2164.5984366850503
213,2008-02-03,5730.395250559998
214,2008-02-10,0.0
215,2008-02-17,0.0
216,2008-02-24,2812.336355050702
217,2008-03-02,0.0
218,2008-03-09,0.0
219,2008-03-16,3947.936604545362
220,2008-03-23,0.0
221,2008-03-30,3524.368381385884
222,2008-04-06,0.0
223,2008-04-13,7863.843161111522
224,2008-04-20,4047.7981707832655
225,2008-04-27,0.0
226,2008-05-04,0.0
227,2008-05-11,0.0
228,2008-05-18,0.0
229,2008-05-25,0.0
230,2008-06-01,0.0
231,2008-06-08,2951.299038331737
232,2008-06-15,0.0
233,2008-06-22,5839.547546847699
234,2008-06-29,0.0
235,2008-07-06,0.0
236,2008-07-13,5370.682672484842
237,2008-07-20,0.0
238,2008-07-27,7321.606626571315
239,2008-08-03,0.0
240,2008-08-10,0.0
241,2008-08-17,0.0
242,2008-08-24,2274.3259317139764
243,2008-08-31,0.0
244,2008-09-07,3911.153847087807
245,2008-09-14,3031.7303116277794
246,2008-09-21,6023.889108788157
247,2008-09-28,0.0
248,2008-10-05,5835.003952576583
249,2008-10-12,5445.82044382779
250,2008-10-19,0.0
251,2008-10-26,2631.337882935349
252,2008-11-02,0.0
253,2008-11-09,4196.216080828273
254,2008-11-16,2224.6553969452857
255,2008-11-23,0.0
256,2008-11-30,0.0
257,2008-12-07,2690.136799539678
258,2008-12-14,0.0
259,2008-12-21,0.0
260,2008-12-28,0.0
261,2009-01-04,0.0
262,2009-01-11,8432.220396641571
263,2009-01-18,0.0
264,2009-01-25,0.0
265,2009-02-01,0.0
266,2009-02-08,2645.2189634549513
267,2009-02-15,0.0
268,2009-02-22,0.0
269,2009-03-01,4213.718215949921
270,2009-03-08,2012.878660241068
271,2009-03-15,0.0
272,2009-03-22,0.0
273,2009-03-29,3960.0368941140964
274,2009-04-05,2631.842072901167
275,2009-04-12,3415.6341122470044
276,2009-04-19,0.0
277,2009-04-26,3196.0849889742694
278,2009-05-03,5560.488820682301
279,2009-05-10,0.0
280,2009-05-17,0.0
281,2009-05-24,0.0
282,2009-05-31,0.0
283,2009-06-07,8017.291461848845
284,2009-06-14,0.0
285,2009-06-21,0.0
286,2009-06-28,0.0
287,2009-07-05,2826.507486462674
288,2009-07-12,4091.700591062884
289,2009-07-19,3571.40997175123
290,2009-07-26,0.0
291,2009-08-02,0.0
292,2009-08-09,4149.420260196862
293,2009-08-16,5642.013439818372
294,2009-08-23,0.0
295,2009-08-30,3741.4769636499122
296,2009-09-06,7708.783005335813
297,2009-09-13,0.0
298,2009-09-20,2870.541433726399
299,2009-09-27,4228.500646205884
300,2009-10-04,0.0
301,2009-10-11,6396.035495792438
302,2009-10-18,0.0
303,2009-10-25,0.0
304,2009-11-01,0.0
305,2009-11-08,4047.402105870687
306,2009-11-15,0.0
307,2009-11-22,0.0
308,2009-11-29,2229.20330602001
309,2009-12-06,0.0
310,2009-12-13,0.0
311,2009-12-20,0.0
312,2009-12-27,0.0
313,2010-01-03,4407.286137704977
314,2010-01-10,0.0
315,2010-01-17,0.0
316,2010-01-24,0.0
317,2010-01-31,0.0
318,2010-02-07,0.0
319,2010-02-14,0.0
320,2010-02-21,0.0
321,2010-02-28,0.0
322,2010-03-07,5172.747707770294
323,2010-03-14,6225.322387982907
324,2010-03-21,0.0
325,2010-03-28,0.0
326,2010-04-04,0.0
327,2010-04-11,3145.58087707956
328,2010-04-18,0.0
329,2010-04-25,4337.469790179977
330,2010-05-02,4206.9670701886125
331,2010-05-09,0.0
332,2010-05-16,0.0
333,2010-05-23,0.0
334,2010-05-30,3909.8109752422642
335,2010-06-06,0.0
336,2010-06-13,0.0
337,2010-06-20,3348.1099466085666
338,2010-06-27,9779.24011245518
339,2010-07-04,0.0
340,2010-07-11,0.0
341,2010-07-18,0.0
342,2010-07-25,0.0
343,2010-08-01,0.0
344,2010-08-08,4318.6358291573615
345,2010-08-15,0.0
346,2010-08-22,0.0
347,2010-08-29,0.0
348,2010-09-05,0.0
349,2010-09-12,0.0
350,2010-09-19,4454.476065613125
351,2010-09-26,4068.7184974796264
352,2010-10-03,0.0
353,2010-10-10,6941.005405446916
354,2010-10-17,0.0
355,2010-10-24,0.0
356,2010-10-31,7593.246378900783
357,2010-11-07,0.0
358,2010-11-14,2766.43840300771
359,2010-11-21,5968.510664466505
360,2010-11-28,0.0
361,2010-12-05,1815.3097982637128
362,2010-12-12,0.0
363,2010-12-19,0.0
364,2010-12-26,3512.0122822839257
365,2011-01-02,1353.4155259874774
366,2011-01-09,1865.9321238932378
367,2011-01-16,0.0
368,2011-01-23,0.0
369,2011-01-30,1979.7296994939213
370,2011-02-06,2962.412749058334
371,2011-02-13,5218.596940911163
372,2011-02-20,3071.0961296194905
373,2011-02-27,0.0
374,2011-03-06,0.0
375,2011-03-13,1790.3432177103189
376,2011-03-20,1715.0891457184719
377,2011-03-27,1939.580487683415
378,2011-04-03,1124.9094893190234
379,2011-04-10,2179.9496080576246
380,2011-04-17,2276.252250978917
381,2011-04-24,0.0
382,2011-05-01,0.0
383,2011-05-08,4434.3573535242085
384,2011-05-15,1413.7688083242922
385,2011-05-22,3361.2100774565197
386,2011-05-29,2633.6354755943667
387,2011-06-05,0.0
388,2011-06-12,0.0
389,2011-06-19,0.0
390,2011-06-26,0.0
391,2011-07-03,0.0
392,2011-07-10,1358.44361509737
393,2011-07-17,0.0
394,2011-07-24,1017.5050289287772
395,2011-07-31,0.0
396,2011-08-07,0.0
397,2011-08-14,1164.640128980301
398,2011-08-21,0.0
399,2011-08-28,0.0
400,2011-09-04,0.0
401,2011-09-11,3743.7379328648667
402,2011-09-18,1906.274301551788
403,2011-09-25,0.0
404,2011-10-02,2256.619198694696
405,2011-10-09,2032.256085128171
406,2011-10-16,1812.0924511298822
407,2011-10-23,2186.0019956351052
408,2011-10-30,2198.3933168691783
409,2011-11-06,1831.4088230061445
410,2011-11-13,0.0
411,2011-11-20,2228.154742037139
412,2011-11-27,1579.502839316298
413,2011-12-04,1169.1140090432473
414,2011-12-11,3294.6124787342264
415,2011-12-18,953.6297322017124
416,2011-12-25,0.0
417,2012-01-01,1419.7017774705282
418,2012-01-08,2293.9021597391143
419,2012-01-15,1443.890330331804
420,2012-01-22,763.761202133118
421,2012-01-29,1606.531748942965
422,2012-02-05,1433.5576041446768
423,2012-02-12,1346.449793402729
424,2012-02-19,1626.8468343993575
425,2012-02-26,1244.441033330758
426,2012-03-04,1555.1089974164483
427,2012-03-11,1938.3595557455624
428,2012-03-18,2340.7167483112435
429,2012-03-25,0.0
430,2012-04-01,1575.3069354207107
431,2012-04-08,1606.220469609822
432,2012-04-15,0.0
433,2012-04-22,3783.436193245415
434,2012-04-29,877.8367938813698
435,2012-05-06,3804.59734189065
436,2012-05-13,0.0
437,2012-05-20,1838.4935327436879
438,2012-05-27,1684.1740638000276
439,2012-06-03,3014.673967835215
440,2012-06-10,0.0
441,2012-06-17,1831.5509661711071
442,2012-06-24,1948.2758906522122
443,2012-07-01,2126.3544494801
444,2012-07-08,1074.768321685369
445,2012-07-15,1573.0094283241035
446,2012-07-22,1556.1351739847355
447,2012-07-29,1562.619935607625
448,2012-08-05,903.6480177185425
449,2012-08-12,1644.65738673797
450,2012-08-19,2718.5390762160164
451,2012-08-26,1260.2096967624864
452,2012-09-02,3189.8962246239134
453,2012-09-09,0.0
454,2012-09-16,1051.5750029043745
455,2012-09-23,1637.4530101656323
456,2012-09-30,1420.372024135409
457,2012-10-07,2737.0594645009783
458,2012-10-14,2298.917550148137
459,2012-10-21,1337.9078159492635
460,2012-10-28,2642.618443095465
461,2012-11-04,2262.258870198687
462,2012-11-11,2575.0514033087247
463,2012-11-18,766.9848130669014
464,2012-11-25,1329.1774253103565
465,2012-12-02,3577.431863905694
466,2012-12-09,0.0
467,2012-12-16,0.0
468,2012-12-23,2699.7562289918137
469,2012-12-30,2485.6330170272495
470,2013-01-06,3239.536175850587
471,2013-01-13,1153.72880168195
472,2013-01-20,2218.387960377589
473,2013-01-27,1573.3861814154095
474,2013-02-03,1127.0848850157863
475,2013-02-10,1046.1715384361328
476,2013-02-17,1202.3540602475477
477,2013-02-24,1229.1766588489115
478,2013-03-03,672.9055187084525
479,2013-03-10,2244.9372989080694
480,2013-03-17,3854.464357393952
481,2013-03-24,1183.9877246280887
482,2013-03-31,1516.654443811114
483,2013-04-07,2367.983178025579
484,2013-04-14,2610.371753145079
485,2013-04-21,2291.082024521688
486,2013-04-28,811.1637001212476
487,2013-05-05,0.0
488,2013-05-12,2061.9374559239245
489,2013-05-19,1477.8335751442385
490,2013-05-26,1397.0232476854817
491,2013-06-02,1909.2837892956375
492,2013-06-09,2418.642451522419
493,2013-06-16,3089.718868651833
494,2013-06-23,1658.0748519516421
495,2013-06-30,0.0
496,2013-07-07,4606.999543665765
497,2013-07-14,0.0
498,2013-07-21,4001.0579088762606
499,2013-07-28,1854.5555141845296
500,2013-08-04,1898.0146565535504
501,2013-08-11,1572.892894579846
502,2013-08-18,0.0
503,2013-08-25,4380.881344166881
504,2013-09-01,2489.859021752454
505,2013-09-08,0.0
506,2013-09-15,1797.3095926285891
507,2013-09-22,816.2224408905828
508,2013-09-29,0.0
509,2013-10-06,1738.8263489777298
510,2013-10-13,0.0
511,2013-10-20,2637.3098649550793
512,2013-10-27,2154.399656249087
513,2013-11-03,4456.428551194372
514,2013-11-10,3031.8989038503773
515,2013-11-17,4171.700197710346
516,2013-11-24,2655.731646161701
517,2013-12-01,3162.851019973308
518,2013-12-08,1195.8341400125125
519,2013-12-15,3031.3894396623414
520,2013-12-22,1967.6674326511798
521,2013-12-29,2747.4519690428738
522,2014-01-05,2362.4813616437464
523,2014-01-12,1932.0847894162555
524,2014-01-19,3083.489226394101
525,2014-01-26,3165.7257332426375
526,2014-02-02,2981.5496182334946
527,2014-02-09,2215.6006499334635
528,2014-02-16,2875.846599643241
529,2014-02-23,660.7601286736365
530,2014-03-02,2028.5526004552016
531,2014-03-09,1953.927201482545
532,2014-03-16,0.0
533,2014-03-23,3959.310910899931
534,2014-03-30,2569.895900830147
535,2014-04-06,1994.6704439636949
536,2014-04-13,2307.9630110891694
537,2014-04-20,1789.1044026470656
538,2014-04-27,2070.428547368463
539,2014-05-04,1860.3554321734114
540,2014-05-11,1486.457115157508
541,2014-05-18,1036.624027123928
542,2014-05-25,0.0
543,2014-06-01,3377.003426913565
544,2014-06-08,1351.1771999005098
545,2014-06-15,1427.023367175182
546,2014-06-22,2384.279590901238
547,2014-06-29,0.0
548,2014-07-06,0.0
549,2014-07-13,1339.0710951590822
550,2014-07-20,2355.186401907172
551,2014-07-27,0.0
552,2014-08-03,3724.0283328479513
553,2014-08-10,840.5530557193098
554,2014-08-17,2002.7251998020552
555,2014-08-24,0.0
556,2014-08-31,0.0
557,2014-09-07,2978.167262738038
558,2014-09-14,1593.1266929261917
559,2014-09-21,888.5310706500162
560,2014-09-28,2802.381932642281
561,2014-10-05,0.0
562,2014-10-12,2065.9775317980725
563,2014-10-19,1926.1064466742123
564,2014-10-26,1439.0144782318384
